targets: 3146,3147,3148,3149,3150,3151,3152,3153,3154,3155,3156,3157,3158,3159
                  SYSCALL      TIME IN MS      COUNT
                     read          321818     583301
                    futex          132683    1760105
                    write           10129     775970
                   unlink            1586       1000
                    fsync             993       1000
                   openat             198       2900
                    close               6       3000
                    statx               2        900
                  madvise               0         14
------------
