targets: 3200,3201,3202,3203,3204,3205,3206,3207,3208,3209,3210,3211,3212,3213,3214,3215
                  SYSCALL      TIME IN MS      COUNT
                     read          365400     586972
                    futex          176750    1895800
                    write            9971     760254
                   unlink            1550       1000
                    fsync             931       1000
                   openat             194       2900
                    close               6       3000
                    statx               2        900
                  madvise               0         16
------------
